id,subset,start_sec,end_sec,duration_sec,transcript_raw,source,audio_url
40001-000,train-ut,1.560,7.220,5.660,"Yth yw an wheffes dëdh a vis Genver dyweth an Nadelyk ha ’ n Epiphany,",lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-001,train-ut,7.560,19.340,11.780,an jëdh pàn vo Cristonyon i’n West ow solempnya gordhyans an Dus Fur. Yma Lhuyd ow ry Degol Stûl avell an Kernowek rag an Epiphany.,lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-002,train-ut,20.360,32.430,12.070,"An ger Kernowek yw goos nessa Yr Ystwyll in Kembrek, rag yma Stûl hag Ystwyll aga dew ow tos dhyworth Stêlla ‘Steren’ in Latyn.",lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-003,train-ut,32.830,43.580,10.750,Yma hedna ow referrya dhe’n Steren a welas an Dus Fur i’n Ÿst hag a’s inias dhe dhos dhe ry omach dhe’n Crist nowyth-genys.,lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-004,train-ut,44.350,50.290,5.940,Nyns yw an Dus Fur campollys i’n Testament Nowyth ma’s in Awayl Sen Mathew.,lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-005,train-ut,51.460,57.540,6.080,Skyla rag sowthan ywa martesen na lever an awayl aga bos try in nùmber;,lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-006,train-ut,57.850,64.460,6.610,saw yma pobel ow cresy aga bos try dre rêson y dhe ry try ro dhe’n flogh:,lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-007,train-ut,64.810,74.530,9.720,"owr, frankincens ha myrr. Nyns yw leverys i’n scryptour naneyl y dhe vos myterneth.",lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-008,train-ut,74.950,80.450,5.500,"Y yw tus fur in udnyk, magoi i’n Grêk gwredhek,",lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-009,train-ut,80.920,94.100,13.180,"hèn yw dhe styrya, sterdhewynyon pò astrologers . I’n tradycyons an Osow Cres avarr bytegyns an dus fur o cresys dhe vos myterneth,",lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-010,train-ut,94.580,101.120,6.540,rag apert yw aga bos persons a bris hag a’s teva rycheth brâs.,lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-011,train-ut,101.850,108.650,6.800,"Ny a gav ytho lies mencyon a’n Try Mytern, rag ensampel i’n hympna Kernowek-ma:",lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-012,train-ut,109.110,118.520,9.410,"Try mytern on a’n Howldrevel Ha’gan royow a dheu abell, Dres bre ha ros, ryb carn ha coos",lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-013,train-ut,118.890,129.650,10.760,Dre Stêren meur hy nell. Nyns yw an dus fur henwys i’n awayl saw y feu henwyn provies ragthans:,lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-014,train-ut,130.060,138.060,8.000,"Melchior , Caspar ha Balthazar . Herwyth an tradycyon y aga thry",lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-015,train-ut,138.400,144.120,5.720,"a verwys in Eynda. Lies bledhen moy adhewedhes Helen,",lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
40001-016,train-ut,144.580,152.000,7.420,"mabm Constentîn Emprour, a dravalyas dhe Eynda, trouvya eskern an try mytern",lovinglivingcornish,https://www.skeulantavas.com/audio/1-degol-st%C3%BBl?c=nicholas-williams-podcasts-i
