id,subset,start_sec,end_sec,duration_sec,transcript_raw,source,audio_url
30708-000,train-ut,68.61,78.98,10.370,"E lohe mua ana ʻoukou i kekahi māhele hana a nā haumāna i hoʻomākaukau ai. A ma hope mai, ka māhele kamaʻilio no ko ʻoukou hoʻonanea ʻana, no",ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-001&getmedia=true
30708-001,train-ut,78.98,89.37,10.390,"ka hoa kipa o kēia ahiahi, ʻo Pāpā Johnny Almeida, a me ka mea hoʻokipa hoʻi o Ka Leo Hawaiʻi, ʻo ia hoʻi, ʻo Kauanoe Kimura.",ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-001&getmedia=true
30708-002,train-ut,90.09,100.24,10.150,Ka Pōhuehue ʻO ka pōhuehue o ka puʻe one lā e Kā ka pōhuehue kai,ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-001&getmedia=true
30708-003,train-ut,100.40,103.24,2.840,ka moana lā e ʻO ka,ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-001&getmedia=true
30708-004,train-ut,103.92,111.90,7.980,pōhuehue o ka puʻe one lā e Kā ka pōhuehue kai ka moana lā e,ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-001&getmedia=true
30708-005,train-ut,114.35,122.14,7.790,E humehume iho i ka malo kai lā e Kō ka pōhuehue kai o ka lawaiʻa lā e,ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-001&getmedia=true
30708-006,train-ut,124.53,133.81,9.280,E HUMEHUME IHO I KA MALO KAI LA E KO KA POHUEHUE KAI O KA LAWAI'A LA E - -,ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-001&getmedia=true
30708-007,train-ut,134.42,143.36,8.940,ʻO ka pōhuehue o ka puʻe one lā e Kā ka pōhuehue kai o ka heʻe nalu lā e ʻO,ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-001&getmedia=true
30708-008,train-ut,144.45,155.41,10.960,"ka pōhuehue o ka puʻe one lā e, Kā ka pōhuehue kai o ka heʻe nalu lā, ē",ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-001&getmedia=true
30708-009,train-ut,155.41,162.73,7.320,a He inoa no ka pōhuehue Ka Pōhuehue:,ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-001&getmedia=true
30708-010,train-ut,163.41,168.54,5.130,"ʻO ka pōhuehue, he mea hihi ia e ulu ana ma ka pili kai.",ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-001&getmedia=true
30708-011,train-ut,169.13,174.12,4.990,He pua ʻākala kona. Hana ʻia ka pōhuehue i mea lapaʻau.,ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-001&getmedia=true
30708-012,train-ut,174.85,184.12,9.270,"Ke makemake ka poʻe i ka nalu no ka heʻe nalu ʻana, hahau lākou i ke kai me ka pōhuehue a piʻi mai ka nalu nui.",ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-001&getmedia=true
30708-013,train-ut,184.88,192.12,7.240,"Pā nō hoʻi ka poʻe lawaiʻa i ka ʻilikai me ka pōhuehue, a holo nā iʻa i loko o ka ʻupena.",ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-001&getmedia=true
30708-014,train-ut,193.45,200.80,7.350,"He moʻolelo kēia e pili ana i ka pōhuehue me kekahi pōhaku kaulana ma Keʻei, Kona Hema,",ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-001&getmedia=true
30708-015,test-id,201.34,211.49,10.150,"i kapa ʻia ʻo Pohākanalu. I ka hoʻi ʻana mai o ka lawaiʻa, hoʻolei ʻia ka pōhaku ʻo Pohākanalu i ka pōhuehue e",ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-001&getmedia=true
30708-016,train-ut,211.49,220.83,9.340,"nā kānaka. I ka hana ʻana pēlā, huhū ke kai a holo ka poʻe kānaka ma luna o ko lākou waʻa",ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-001&getmedia=true
30708-017,train-ut,221.49,225.29,3.800,e kōkua aku i ka lawaiʻa e pilikia ana i ke kai.,ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-001&getmedia=true
30708-018,train-ut,226.06,236.24,10.180,"No kēia hana lokomaikaʻi a ka poʻe kānaka i ka lawaiʻa, hāʻawi ka mea lawaiʻa i wahi iʻa iā lākou nā mea i kōkua iā ia.",ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-001&getmedia=true
30708-019,train-ut,237.10,241.42,4.320,ʻO ia ka hana maʻalea a kēia poʻe kānaka i ka mea lawaiʻa.,ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-001&getmedia=true
30709-000,train-ut,0.19,10.12,9.930,"ʻO ia kēia mele ʻo Pua ʻŌhai. Pololoi. Pehea ka manaʻo o kēia mele? Pua ʻŌhai, ua lohe mai au he pua, he pua uʻi loa kēlā.",ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-002&getmedia=true
30709-001,train-ut,11.31,14.80,3.490,"Pua ʻŌhai. No laila,",ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-002&getmedia=true
30709-002,train-ut,16.57,18.74,2.170,ʻAe. Ua aʻo mai hoʻi koʻu poʻe,ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-002&getmedia=true
30709-003,test-id,19.53,22.45,2.920,"kūpuna iaʻu i kēia, kēia mele, a, ʻĒ.",ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-002&getmedia=true
30709-004,train-ut,23.47,32.14,8.670,"Kekahi kēia o nā mele aʻu i, i loaʻa mai ai mai ka noho ʻana i loko o kēlā ʻaha lama aʻu e pāʻani ana i koʻu wā kamaliʻi. ʻĒ. A",ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-002&getmedia=true
30709-005,train-ut,33.54,37.14,3.600,"ʻo ia ihola nā nā, nā mele i loaʻa iaʻu. ʻAe. Pua ʻŌhai.",ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-002&getmedia=true
30709-006,train-ut,37.65,41.65,4.000,"He mele kahiko paha kēia? ʻAe, mele kahiko kēia ma mua o koʻu hānau ʻana.",ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-002&getmedia=true
30709-007,train-ut,42.39,45.59,3.200,"ʻĒ. A mālama au i kēia, i kēia i kēia,",ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-002&getmedia=true
30709-008,train-ut,46.11,48.45,2.340,"kēia mele. Hoʻololi nō hoʻi au i kekahi laina, i",ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-002&getmedia=true
30709-009,test-id,49.29,53.87,4.580,kekahi wahi leo maikaʻi i hiki ke hauʻoli nō hoʻi ka pepeiao o ka poʻe ke hoʻolohe mai.,ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-002&getmedia=true
30709-010,train-ut,55.22,59.86,4.640,"Nāu nō i haku ke ʻea me ka ʻAe. Naʻu ka ʻea, naʻu ka leo, a,",ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-002&getmedia=true
30709-011,train-ut,60.75,63.95,3.200,"naʻu ka walaʻau ʻana. ʻĒ. I loko o kēlā,",ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-002&getmedia=true
30709-012,train-ut,64.99,69.45,4.460,- MELE PUA 'OHAI E,ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-002&getmedia=true
30709-013,train-ut,70.78,74.37,3.590,"ʻo nā pila e ʻehā pila aʻu i pāʻani, ʻo ia hoʻi, ma mua,",ulukau,https://ulukau.org/kaniaina/cgi-bin/imageserver.pl?oid=KIKM-KIKM-002&getmedia=true
