id,subset,start_sec,end_sec,duration_sec,transcript_raw,source,audio_url
0102-000,train-ut,0.43,5.71,5.280,MYR VA NY'N STOO MYR SHE'N T'AD FARRAGHTYN ERSON DY BRAGH,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-001,train-ut,6.86,8.63,1.770,YN DOOGHYS OC TA GLENN,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-002,train-ut,9.29,15.34,6.050,VEIH'N VROID VOOAR TA CUR ER SLEIH G'AASE SHENN ANNOON AS CHING,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-003,train-ut,16.02,17.84,1.820,D'OU RINAGH AS BAASOIL,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-004,train-ut,18.62,23.72,5.100,RERE LHEID'S BREEN DOOGHYS ASS V'AD ER NY'N GHOAILL,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-006,train-ut,31.30,33.73,2.430,NAGH VOD AD CHERRAGHT CHIOEE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-007,train-ut,35.00,36.71,1.710,BAASE AS BEA LIAUYR,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-008,train-ut,37.37,39.88,2.510,TA CUR DAGH DOOGHYS MOW,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-009,train-ut,40.58,44.68,4.100,CHA BENN ROO SHOH CHA VOD Y STOO OC LHOAU,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-010,train-ut,45.97,47.83,1.860,CHA VEL Y VOAL CHA CHIU,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-012,train-ut,51.34,54.96,3.620,ODDYS VE COODAGH NY SCADOO NY'N OI,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-013,train-ut,55.79,59.68,3.890,JEEAGH CRE CHA BIEAU CHA NIARTAL AS CHA JEEAN,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-014,train-ut,60.35,64.24,3.890,TA BRISHEY TROOID Y GHLESS SHLIAWIN SKELL Y GHRIAN,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-015,train-ut,65.20,72.84,7.640,LESH YN AASH CHEDDIN ODDYS SPRYDYN ROIE TROOID PRASH NY YIARN NY RED DY VEL NY S'CREOI,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-016,train-ut,73.90,78.10,4.200,EARROO NY SPYRRYDYN SOLLYS SHOH VA MOOAR,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-017,train-ut,78.95,83.06,4.110,SKYN EARROON SLEIH VA NY TA ER YN OOIR,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-018,train-ut,83.93,88.02,4.090,SHEEL NY'N AYR ADAM OOILLEY DY BEAGH BIO,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-019,train-ut,88.55,92.79,4.240,GYS JIU CHA GORMAGH FOAST YN COONTEY SHOH,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-020,train-ut,93.77,98.65,4.880,COOID AYNS GLOYR SLOO COOID AYNS GLOYR SMOO SOILSHEAN,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-022,train-ut,105.39,112.93,7.540,MYR AYNS OIE AALIN TA SHIU CURMYNER NY CAINLEYN SOLLYS LOSSEY AYNS YN AER,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-023,train-ut,113.55,115.52,1.970,PAART BEG PAART MOAR,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-024,train-ut,116.03,118.25,2.220,CUR SOILSHEY ER DAGH LAUE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-025,train-ut,118.93,122.95,4.020,RERE TOWSE Y PHOOAR TA J'EE ER NEEASAGHT DAUE,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-026,train-ut,123.98,128.43,4.450,FOAST OOILLEY SOLLYS LOSSES LHEHMYRLHEH,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-027,train-ut,129.62,133.78,4.160,CHIOEE FREAYL NY'N REILL YN DOOGHYS T'AD JEANT JEH,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-028,train-ut,135.01,138.66,3.650,MYR SHOH NY AINLEYN FLAUNYSSAGH VA JEANT,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-029,train-ut,139.43,143.66,4.230,AS CHA ROW OYR EC BEG NY MOOAR DY PHLAIYNT,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-030,train-ut,145.27,148.12,2.850,CHA NYRRYS NIAU VE REERIAGHT EUNYSSAGH,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
0102-031,train-ut,148.94,151.67,2.730,AS GYS Y SEIHLL SHOH SOYLIT YINDYSSAGH,clilstore,https://clilstore.eu/wordlink/?navsize=1&sl=gv&url=https://clilstore.eu/clilstore/page.php?id=4499{and}hl=en
