id,subset,start_sec,end_sec,duration_sec,transcript_raw,source,audio_url
lbi-22000-000,train-ut,4.38,10.03,5.650,"Tewateronhyáhkhwa? Nahò:ten? Sata'karí:te ken? Hén,",ratiwennokwas,https://soundcloud.com/ratiwennokwas/1-introducing-someone-to/s-LDMxUuDDy6y
lbi-22000-001,train-ut,11.14,21.20,10.060,"ók ní:se? Í:yah tewahétken, í:kehre ok akonrihwanón:tonhse'. Nahò:ten? Thí: í:si atekhwaratsherá:ti tyétskote, sheyenté:ri ken? Hen ontyátsi thí:",ratiwennokwas,https://soundcloud.com/ratiwennokwas/1-introducing-someone-to/s-LDMxUuDDy6y
lbi-22000-002,train-ut,21.20,25.64,4.440,"Warisó:se. Ah tó:ske ken? Hen, Ahkwesáhsne nityakawé:non.",ratiwennokwas,https://soundcloud.com/ratiwennokwas/1-introducing-someone-to/s-LDMxUuDDy6y
lbi-22000-003,train-ut,26.86,31.56,4.700,"nise. Sena'tà:re ken? Í:yah, kén kenákere. Tó:ske?",ratiwennokwas,https://soundcloud.com/ratiwennokwas/1-introducing-someone-to/s-LDMxUuDDy6y
lbi-22000-004,train-ut,32.11,36.58,4.470,"Hén Í:yah nonwén:ton tekón:ken. Nyóh, onkwara'sé:'a rotinyà:kon.",ratiwennokwas,https://soundcloud.com/ratiwennokwas/1-introducing-someone-to/s-LDMxUuDDy6y
lbi-22000-005,train-ut,37.23,43.10,5.870,"Onkwara'sé:'a, ka'nikà:yen? Ne ki' ne Donald ronwà:yats. Donald? Donald? Ahhh",ratiwennokwas,https://soundcloud.com/ratiwennokwas/1-introducing-someone-to/s-LDMxUuDDy6y
lbi-22000-006,train-ut,43.75,46.59,2.840,"tó:ske, í:se ken ne Emma",ratiwennokwas,https://soundcloud.com/ratiwennokwas/1-introducing-someone-to/s-LDMxUuDDy6y
lbi-22000-007,train-ut,47.47,53.59,6.120,"ontate'nisténha? Hen kheyèn:'a. Hen'en ne ki', ó:nen ki wakateryèn:tare ónhka ne tsátsi.",ratiwennokwas,https://soundcloud.com/ratiwennokwas/1-introducing-someone-to/s-LDMxUuDDy6y
lbi-22000-008,train-ut,56.45,59.05,2.600,Tewateronhyáhkhwa? Nahò:ten? Ne ki ne uh…,ratiwennokwas,https://soundcloud.com/ratiwennokwas/1-introducing-someone-to/s-LDMxUuDDy6y
lbi-22000-009,train-ut,59.63,61.66,2.030,sheyenté:ri ken kí:ken ken nonkwa yétskote?,ratiwennokwas,https://soundcloud.com/ratiwennokwas/1-introducing-someone-to/s-LDMxUuDDy6y
lbi-22000-010,train-ut,62.29,65.69,3.400,Yah nonwén:ton tekhé:ken Á:yenhre yontatón:ni,ratiwennokwas,https://soundcloud.com/ratiwennokwas/1-introducing-someone-to/s-LDMxUuDDy6y
lbi-22000-011,train-ut,66.48,76.37,9.890,ri tsi kahrónkha nonkwehonwehnéha Ionhrónkha nonkwehonwehnéha Ohh iah tewakater- iah tesekhró:ri ke,ratiwennokwas,https://soundcloud.com/ratiwennokwas/1-introducing-someone-to/s-LDMxUuDDy6y
lbi-22000-012,train-ut,79.38,89.81,10.430,"nityakawé:non, yakonatahré:na ken'k nikarì:wes Ne ken tatie Tho ki niiakwaiéhrha ne",ratiwennokwas,https://soundcloud.com/ratiwennokwas/1-introducing-someone-to/s-LDMxUuDDy6y
